StateCode,Datetime,Demand,ISGS,ImportData
DNH,2025-12-01 06:17:41,883,,883
ACP,2025-12-01 06:17:40,114,,114
ASM,2025-12-01 06:17:39,"1,075",208,867
CHG,2025-12-01 06:17:41,157,,157
CTG,2025-12-01 06:17:40,"3,884","2,277","1,607"
DND,2025-12-01 06:17:41,285,,285
DL,2025-12-01 06:17:41,"3,000",246,"2,754"
BHR,2025-12-01 06:17:41,"3,894",577,"3,317"
AP,2025-12-01 06:17:39,"7,887","5,601","2,286"
HRN,2025-12-01 06:17:42,"5,987","1,211","4,776"
GOA,2025-12-01 06:17:43,434,,434
GJT,2025-12-01 06:17:43,"15,858","7,668","8,190"
HP,2025-12-01 06:17:43,"1,519",441,"1,078"
JAK,2025-12-01 06:17:43,"2,627",217,"2,410"
KRL,2025-12-01 06:17:43,"3,233",468,"2,765"
MPD,2025-12-01 06:17:45,"10,889","4,018","6,871"
MIP,2025-12-01 06:17:45,138,,138
JHK,2025-12-01 06:17:45,"1,622",409,"1,213"
MGA,2025-12-01 06:17:45,161,79,82
MHA,2025-12-01 06:17:46,"22,007","15,087","6,920"
MZM,2025-12-01 06:17:46,103,,103
PU,2025-12-01 06:17:46,255,,255
NGD,2025-12-01 06:17:46,100,,100
KRT,2025-12-01 06:17:46,"9,525","5,879","3,646"
ODI,2025-12-01 06:17:46,"4,017","3,260",757
PNB,2025-12-01 06:17:46,"6,062","3,101","2,961"
SKM,2025-12-01 06:17:46,67,,67
TPA,2025-12-01 06:17:47,139,65,74
TLG,2025-12-01 06:17:47,"8,690","4,319","4,371"
UP,2025-12-01 06:17:47,"14,432","9,912","4,520"
RJ,2025-12-01 06:17:48,"13,487","7,037","6,450"
UTK,2025-12-01 06:17:48,"1,858",745,"1,113"
BGL,2025-12-01 06:17:48,"5,035","4,442",593
TND,2025-12-01 06:17:48,"11,554","3,757","7,797"
