StateCode,DateTime,PowerStationName,NonSchedule,Schedule,ChartShowingScheduleValue,ChartShowingNonScheduleValue,TypeOfGeneration,fetched_at
AP,2021-06-02,WIND,,,,,Renewable,2024-03-15 16:58:05
AP,2021-06-02,SOLAR,,,,,Renewable,2024-03-15 16:58:05
AP,2021-06-02,DONKARAI HES,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-02,LOWER SILERU,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-02,MACHKUND HES,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-02,NSR RCPH,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-02,SRISAILAM RB,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-02,T. B. DAM (SHARE),,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-02,UPPER SILERU,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-02,MAPS KALPAKKAM,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-02,KAIGA 1&2,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-02,KAIGA 3 & 4,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-02,KKNPP UNIT-2,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-02,KKNPP_U1,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-02,TALCHER STPS-2,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,NNTPS (NEW NEYVELI),,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,THERMAL POWERTECH CORPORATION OF INDIA LIMITED -1,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,RAMAGUNDAM STPS STG-3,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,RAMAGUNDAM STPS STG-1&2,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,HINDUJA,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,NLC TPS II- STG II,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,SIMADHARI STAGE I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,NLC TPS II- STG I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,SIMHADRI STPS 2,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,VIJAYAWADA TPS (DR NARLA TATA RAO TPS (DR. NTTPS))-IV,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,NTPL (NLC TAMILDANU POWER LIMI,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,VALLUR (NTECL) STPS,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,"VIJAYAWADA TPS (DR NARLA TATA RAO TPS (DR. NTTPS))-I,II&III",,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,KRISHNAPATNAM (DSTPP) – I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,KUDGI STPS,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,RTPP IV,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,RAYALASEEMA TPS-I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,K.PTNAM U3,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,DR.NTTPS STG-V,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,NLC TPS I- EXPANSION,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,NLC TPS II- EXPANSION,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,RAYALASEEMA TPS-II,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,RAYALASEEMA TPS-III,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,SEIL-P2-OPEN,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,SEIL-P2-FIRM,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-02,TELANGANA STPS STAGE-1,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,WIND,,,,,Renewable,2024-03-15 16:58:05
AP,2021-06-09,SOLAR,,,,,Renewable,2024-03-15 16:58:05
AP,2021-06-09,DONKARAI HES,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-09,LOWER SILERU,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-09,MACHKUND HES,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-09,NSR RCPH,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-09,SRISAILAM RB,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-09,T. B. DAM (SHARE),,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-09,UPPER SILERU,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-09,MAPS KALPAKKAM,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-09,KAIGA 1&2,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-09,KAIGA 3 & 4,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-09,KKNPP UNIT-2,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-09,KKNPP_U1,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-09,TALCHER STPS-2,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,NNTPS (NEW NEYVELI),,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,THERMAL POWERTECH CORPORATION OF INDIA LIMITED -1,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,RAMAGUNDAM STPS STG-3,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,RAMAGUNDAM STPS STG-1&2,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,HINDUJA,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,NLC TPS II- STG II,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,SIMADHARI STAGE I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,NLC TPS II- STG I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,SIMHADRI STPS 2,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,VIJAYAWADA TPS (DR NARLA TATA RAO TPS (DR. NTTPS))-IV,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,NTPL (NLC TAMILDANU POWER LIMI,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,VALLUR (NTECL) STPS,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,"VIJAYAWADA TPS (DR NARLA TATA RAO TPS (DR. NTTPS))-I,II&III",,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,KRISHNAPATNAM (DSTPP) – I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,KUDGI STPS,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,RTPP IV,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,RAYALASEEMA TPS-I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,K.PTNAM U3,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,DR.NTTPS STG-V,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,NLC TPS I- EXPANSION,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,NLC TPS II- EXPANSION,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,RAYALASEEMA TPS-II,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,RAYALASEEMA TPS-III,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,SEIL-P2-OPEN,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,SEIL-P2-FIRM,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-09,TELANGANA STPS STAGE-1,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,WIND,,,,,Renewable,2024-03-15 16:58:05
AP,2021-06-07,SOLAR,,,,,Renewable,2024-03-15 16:58:05
AP,2021-06-07,DONKARAI HES,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-07,LOWER SILERU,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-07,MACHKUND HES,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-07,NSR RCPH,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-07,SRISAILAM RB,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-07,T. B. DAM (SHARE),,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-07,UPPER SILERU,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-07,MAPS KALPAKKAM,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-07,KAIGA 1&2,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-07,KAIGA 3 & 4,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-07,KKNPP UNIT-2,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-07,KKNPP_U1,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-07,TALCHER STPS-2,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,NNTPS (NEW NEYVELI),,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,THERMAL POWERTECH CORPORATION OF INDIA LIMITED -1,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,RAMAGUNDAM STPS STG-3,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,RAMAGUNDAM STPS STG-1&2,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,HINDUJA,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,NLC TPS II- STG II,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,SIMADHARI STAGE I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,NLC TPS II- STG I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,SIMHADRI STPS 2,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,VIJAYAWADA TPS (DR NARLA TATA RAO TPS (DR. NTTPS))-IV,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,NTPL (NLC TAMILDANU POWER LIMI,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,VALLUR (NTECL) STPS,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,"VIJAYAWADA TPS (DR NARLA TATA RAO TPS (DR. NTTPS))-I,II&III",,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,KRISHNAPATNAM (DSTPP) – I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,KUDGI STPS,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,RTPP IV,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,RAYALASEEMA TPS-I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,K.PTNAM U3,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,DR.NTTPS STG-V,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,NLC TPS I- EXPANSION,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,NLC TPS II- EXPANSION,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,RAYALASEEMA TPS-II,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,RAYALASEEMA TPS-III,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,SEIL-P2-OPEN,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,SEIL-P2-FIRM,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-07,TELANGANA STPS STAGE-1,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,WIND,,,,,Renewable,2024-03-15 16:58:05
AP,2021-06-10,SOLAR,,,,,Renewable,2024-03-15 16:58:05
AP,2021-06-10,DONKARAI HES,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-10,LOWER SILERU,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-10,MACHKUND HES,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-10,NSR RCPH,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-10,SRISAILAM RB,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-10,T. B. DAM (SHARE),,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-10,UPPER SILERU,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-10,MAPS KALPAKKAM,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-10,KAIGA 1&2,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-10,KAIGA 3 & 4,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-10,KKNPP UNIT-2,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-10,KKNPP_U1,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-10,TALCHER STPS-2,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,NNTPS (NEW NEYVELI),,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,THERMAL POWERTECH CORPORATION OF INDIA LIMITED -1,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,RAMAGUNDAM STPS STG-3,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,RAMAGUNDAM STPS STG-1&2,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,HINDUJA,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,NLC TPS II- STG II,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,SIMADHARI STAGE I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,NLC TPS II- STG I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,SIMHADRI STPS 2,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,VIJAYAWADA TPS (DR NARLA TATA RAO TPS (DR. NTTPS))-IV,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,NTPL (NLC TAMILDANU POWER LIMI,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,VALLUR (NTECL) STPS,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,"VIJAYAWADA TPS (DR NARLA TATA RAO TPS (DR. NTTPS))-I,II&III",,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,KRISHNAPATNAM (DSTPP) – I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,KUDGI STPS,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,RTPP IV,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,RAYALASEEMA TPS-I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,K.PTNAM U3,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,DR.NTTPS STG-V,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,NLC TPS I- EXPANSION,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,NLC TPS II- EXPANSION,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,RAYALASEEMA TPS-II,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,RAYALASEEMA TPS-III,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,SEIL-P2-OPEN,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,SEIL-P2-FIRM,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-10,TELANGANA STPS STAGE-1,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,WIND,,,,,Renewable,2024-03-15 16:58:05
AP,2021-06-08,SOLAR,,,,,Renewable,2024-03-15 16:58:05
AP,2021-06-08,DONKARAI HES,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-08,LOWER SILERU,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-08,MACHKUND HES,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-08,NSR RCPH,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-08,SRISAILAM RB,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-08,T. B. DAM (SHARE),,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-08,UPPER SILERU,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-08,MAPS KALPAKKAM,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-08,KAIGA 1&2,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-08,KAIGA 3 & 4,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-08,KKNPP UNIT-2,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-08,KKNPP_U1,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-08,TALCHER STPS-2,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,NNTPS (NEW NEYVELI),,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,THERMAL POWERTECH CORPORATION OF INDIA LIMITED -1,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,RAMAGUNDAM STPS STG-3,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,RAMAGUNDAM STPS STG-1&2,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,HINDUJA,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,NLC TPS II- STG II,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,SIMADHARI STAGE I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,NLC TPS II- STG I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,SIMHADRI STPS 2,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,VIJAYAWADA TPS (DR NARLA TATA RAO TPS (DR. NTTPS))-IV,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,NTPL (NLC TAMILDANU POWER LIMI,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,VALLUR (NTECL) STPS,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,"VIJAYAWADA TPS (DR NARLA TATA RAO TPS (DR. NTTPS))-I,II&III",,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,KRISHNAPATNAM (DSTPP) – I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,KUDGI STPS,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,RTPP IV,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,RAYALASEEMA TPS-I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,K.PTNAM U3,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,DR.NTTPS STG-V,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,NLC TPS I- EXPANSION,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,NLC TPS II- EXPANSION,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,RAYALASEEMA TPS-II,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,RAYALASEEMA TPS-III,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,SEIL-P2-OPEN,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,SEIL-P2-FIRM,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-08,TELANGANA STPS STAGE-1,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,WIND,,,,,Renewable,2024-03-15 16:58:05
AP,2021-06-01,SOLAR,,,,,Renewable,2024-03-15 16:58:05
AP,2021-06-01,DONKARAI HES,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-01,LOWER SILERU,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-01,MACHKUND HES,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-01,NSR RCPH,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-01,SRISAILAM RB,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-01,T. B. DAM (SHARE),,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-01,UPPER SILERU,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-01,MAPS KALPAKKAM,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-01,KAIGA 1&2,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-01,KAIGA 3 & 4,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-01,KKNPP UNIT-2,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-01,KKNPP_U1,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-01,TALCHER STPS-2,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,NNTPS (NEW NEYVELI),,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,THERMAL POWERTECH CORPORATION OF INDIA LIMITED -1,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,RAMAGUNDAM STPS STG-3,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,RAMAGUNDAM STPS STG-1&2,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,HINDUJA,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,NLC TPS II- STG II,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,SIMADHARI STAGE I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,NLC TPS II- STG I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,SIMHADRI STPS 2,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,VIJAYAWADA TPS (DR NARLA TATA RAO TPS (DR. NTTPS))-IV,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,NTPL (NLC TAMILDANU POWER LIMI,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,VALLUR (NTECL) STPS,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,"VIJAYAWADA TPS (DR NARLA TATA RAO TPS (DR. NTTPS))-I,II&III",,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,KRISHNAPATNAM (DSTPP) – I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,KUDGI STPS,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,RTPP IV,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,RAYALASEEMA TPS-I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,K.PTNAM U3,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,DR.NTTPS STG-V,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,NLC TPS I- EXPANSION,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,NLC TPS II- EXPANSION,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,RAYALASEEMA TPS-II,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,RAYALASEEMA TPS-III,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,SEIL-P2-OPEN,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,SEIL-P2-FIRM,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-01,TELANGANA STPS STAGE-1,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,WIND,,,,,Renewable,2024-03-15 16:58:05
AP,2021-06-05,SOLAR,,,,,Renewable,2024-03-15 16:58:05
AP,2021-06-05,DONKARAI HES,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-05,LOWER SILERU,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-05,MACHKUND HES,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-05,NSR RCPH,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-05,SRISAILAM RB,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-05,T. B. DAM (SHARE),,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-05,UPPER SILERU,,,,,Hydro,2024-03-15 16:58:05
AP,2021-06-05,MAPS KALPAKKAM,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-05,KAIGA 1&2,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-05,KAIGA 3 & 4,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-05,KKNPP UNIT-2,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-05,KKNPP_U1,,,,,Nuclear,2024-03-15 16:58:05
AP,2021-06-05,TALCHER STPS-2,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,NNTPS (NEW NEYVELI),,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,THERMAL POWERTECH CORPORATION OF INDIA LIMITED -1,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,RAMAGUNDAM STPS STG-3,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,RAMAGUNDAM STPS STG-1&2,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,HINDUJA,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,NLC TPS II- STG II,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,SIMADHARI STAGE I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,NLC TPS II- STG I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,SIMHADRI STPS 2,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,VIJAYAWADA TPS (DR NARLA TATA RAO TPS (DR. NTTPS))-IV,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,NTPL (NLC TAMILDANU POWER LIMI,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,VALLUR (NTECL) STPS,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,"VIJAYAWADA TPS (DR NARLA TATA RAO TPS (DR. NTTPS))-I,II&III",,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,KRISHNAPATNAM (DSTPP) – I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,KUDGI STPS,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,RTPP IV,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,RAYALASEEMA TPS-I,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,K.PTNAM U3,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,DR.NTTPS STG-V,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,NLC TPS I- EXPANSION,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,NLC TPS II- EXPANSION,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,RAYALASEEMA TPS-II,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,RAYALASEEMA TPS-III,,,,,Thermal,2024-03-15 16:58:05
AP,2021-06-05,SEIL-P2-OPEN,,,,,Thermal,2024-03-15 16:58:05
