StateCode,DateTime,PowerStationName,NonSchedule,Schedule,ChartShowingScheduleValue,ChartShowingNonScheduleValue,TypeOfGeneration,fetched_at
BHR,2021-06-03,ALFA SPD RAFIGANJ,,,,,Renewable,2024-03-15 16:58:15
BHR,2021-06-03,AVANTIKA SPD,,,,,Renewable,2024-03-15 16:58:15
BHR,2021-06-03,BAHERA SPD,,,,,Renewable,2024-03-15 16:58:15
BHR,2021-06-03,BHARAT SUGAR MILLS,,,,,Renewable,2024-03-15 16:58:15
BHR,2021-06-03,GLAT SPD,,,,,Renewable,2024-03-15 16:58:15
BHR,2021-06-03,HARI NAGAR SUGAR MILLS,,,,,Renewable,2024-03-15 16:58:15
BHR,2021-06-03,HASANPUR SUGAR MILLS,,,,,Renewable,2024-03-15 16:58:15
BHR,2021-06-03,LAURIA PLANT,,,,,Renewable,2024-03-15 16:58:15
BHR,2021-06-03,MAGADH SPD,,,,,Renewable,2024-03-15 16:58:15
BHR,2021-06-03,MURERA SPD,,,,,Renewable,2024-03-15 16:58:15
BHR,2021-06-03,NALANDA SPD,,,,,Renewable,2024-03-15 16:58:15
BHR,2021-06-03,NEW SWADESHI SUGAR MILLS,,,,,Renewable,2024-03-15 16:58:15
BHR,2021-06-03,RESPONSE SPD,,,,,Renewable,2024-03-15 16:58:15
BHR,2021-06-03,SAVKALA SPD,,,,,Renewable,2024-03-15 16:58:15
BHR,2021-06-03,SUGAULI PLANT,,,,,Renewable,2024-03-15 16:58:15
BHR,2021-06-03,SUNMARK SPD,,,,,Renewable,2024-03-15 16:58:15
BHR,2021-06-03,TEESTA,,,,,Hydro,2024-03-15 16:58:15
BHR,2021-06-03,RANGEET,,,,,Hydro,2024-03-15 16:58:15
BHR,2021-06-03,AGNOOR,,,,,Hydro,2024-03-15 16:58:15
BHR,2021-06-03,ARWAL,,,,,Hydro,2024-03-15 16:58:15
BHR,2021-06-03,BARUN,,,,,Hydro,2024-03-15 16:58:15
BHR,2021-06-03,BELSAR,,,,,Hydro,2024-03-15 16:58:15
BHR,2021-06-03,CHUKHA,,,,,Hydro,2024-03-15 16:58:15
BHR,2021-06-03,DEHRI,,,,,Hydro,2024-03-15 16:58:15
BHR,2021-06-03,DHELABAGH,,,,,Hydro,2024-03-15 16:58:15
