StateCode,DateTime,PowerStationName,NonSchedule,Schedule,ChartShowingScheduleValue,ChartShowingNonScheduleValue,TypeOfGeneration,fetched_at
DL,2021-06-04,DELHI SOLID WASTE TO ENERGY PLANT,,,,,Renewable,2024-03-15 16:58:22
DL,2021-06-04,TIMAPUR OKHLA WASTE TO ENERGY PLANT,,,,,Renewable,2024-03-15 16:58:22
DL,2021-06-04,EAST DELHI WAST TO ENERGY PLANT,,,,,Renewable,2024-03-15 16:58:22
DL,2021-06-04,SALAL HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-04,BAIRASIUL HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-04,URI HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-04,CHAMERA-II HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-04,CHAMERA HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-04,NATHPA JHAKRI HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-04,DHAULIGANGA HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-04,PARBATI-III,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-04,TANAKPUR HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-04,CHAMERA-III HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-04,TEHRI HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-04,TALA,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-04,URI-II HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-04,KOTESHWAR,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-04,SEWA-II HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-04,DULHASTI HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-04,NAPP,,,,,Nuclear,2024-03-15 16:58:22
DL,2021-06-04,RAPPC,,,,,Nuclear,2024-03-15 16:58:22
DL,2021-06-04,SASAN UMPP,,,,,Thermal,2024-03-15 16:58:22
DL,2021-06-04,RIHAND STPS,,,,,Thermal,2024-03-15 16:58:22
DL,2021-06-04,RIHAND-II STPS,,,,,Thermal,2024-03-15 16:58:22
DL,2021-06-04,SINGRAULI STPS,,,,,Thermal,2024-03-15 16:58:22
DL,2021-06-04,RIHAND-III STPS,,,,,Thermal,2024-03-15 16:58:22
DL,2021-06-04,DADRI (GAS),,,,,Gas,2024-03-15 16:58:22
DL,2021-06-04,ANTA (GAS),,,,,Gas,2024-03-15 16:58:22
DL,2021-06-04,ANTANTPC,,,,,Gas,2024-03-15 16:58:22
DL,2021-06-04,AURAIYA (GAS),,,,,Gas,2024-03-15 16:58:22
DL,2021-06-04,KSTPPII_ER,,,,,Thermal,2024-03-15 16:58:22
DL,2021-06-04,KAHALGAON - I,,,,,Thermal,2024-03-15 16:58:22
DL,2021-06-04,MAITHON POWER LIMITED (MPL),,,,,Thermal,2024-03-15 16:58:22
DL,2021-06-04,"PRAGATI POWER STATION - III, (BAWANA)",,,,,,2024-03-15 16:58:22
DL,2021-06-04,CHANDRAPURA THERMAL POWER STATION (CTPS),,,,,Thermal,2024-03-15 16:58:22
DL,2021-06-04,FARAKKA,,,,,Thermal,2024-03-15 16:58:22
DL,2021-06-04,DADRI TPS,,,,,Thermal,2024-03-15 16:58:22
DL,2021-06-04,UNCHAHAR-I TPS,,,,,Thermal,2024-03-15 16:58:22
DL,2021-06-04,UNCHAHAR-III TPS,,,,,Thermal,2024-03-15 16:58:22
DL,2021-06-04,MEJIA TPS,,,,,Thermal,2024-03-15 16:58:22
DL,2021-06-04,UNCHAHAR-II TPS,,,,,Thermal,2024-03-15 16:58:22
DL,2021-06-04,DADRI-II TPS,,,,,Thermal,2024-03-15 16:58:22
DL,2021-06-04,JHAJJAR,,,,,Thermal,2024-03-15 16:58:22
DL,2021-06-04,GAS TURBINE POWER STATION (GTPS),,,,,Gas,2024-03-15 16:58:22
DL,2021-06-04,BADARPUR THERMAL POWER STATION (BTPS),,,,,Thermal,2024-03-15 16:58:22
DL,2021-06-04,PRAGATI POWER STATION - I,,,,,,2024-03-15 16:58:22
DL,2021-06-04,DADRI (RLNG),,,,,Gas,2024-03-15 16:58:22
DL,2021-06-04,ANTA (RLNG),,,,,Gas,2024-03-15 16:58:22
DL,2021-06-04,AURAIYA (RLNG),,,,,Gas,2024-03-15 16:58:22
DL,2021-06-04,DADRI (LIQUID),,,,,Gas,2024-03-15 16:58:22
DL,2021-06-04,AURAIYA (LIQUID),,,,,Gas,2024-03-15 16:58:22
DL,2021-06-04,ANTA (LIQUID),,,,,Gas,2024-03-15 16:58:22
DL,2021-06-04,RAJGHAT POWER HOUSE,,,,,Thermal,2024-03-15 16:58:22
DL,2021-06-04,RITHALA,,,,,Gas,2024-03-15 16:58:22
