StateCode,DateTime,PowerStationName,NonSchedule,Schedule,ChartShowingScheduleValue,ChartShowingNonScheduleValue,TypeOfGeneration,fetched_at
GJT,2021-06-01,SOLAR,,,,,Renewable,2024-03-15 16:58:24
GJT,2021-06-01,WIND,,,,,Renewable,2024-03-15 16:58:24
GJT,2021-06-01,KHPS,,,,,Hydro,2024-03-15 16:58:24
GJT,2021-06-01,UHPS,,,,,Hydro,2024-03-15 16:58:24
GJT,2021-06-01,SSP,,,,,Hydro,2024-03-15 16:58:24
GJT,2021-06-01,KAPS,,,,,Nuclear,2024-03-15 16:58:24
GJT,2021-06-01,TAPS 1&2,,,,,Nuclear,2024-03-15 16:58:24
GJT,2021-06-01,TAPS 3&4,,,,,Nuclear,2024-03-15 16:58:24
GJT,2021-06-01,ADANI POWER LIMITED(MUNDRA) UNIT-5 -6,,,,,Thermal,2024-03-15 16:58:24
GJT,2021-06-01,APL 2 234 MW,,,,,Thermal,2024-03-15 16:58:24
GJT,2021-06-01,DGBPS_3_GAIL_SPOT,,,,,Gas,2024-03-15 16:58:24
GJT,2021-06-01,KAWAS_COMRLNG,,,,,Gas,2024-03-15 16:58:24
GJT,2021-06-01,UGBPS_2_GAIL_SPOT,,,,,Gas,2024-03-15 16:58:24
GJT,2021-06-01,ACBIL,,,,,Thermal,2024-03-15 16:58:24
GJT,2021-06-01,DARLIPALLI_I_ER,,,,,Thermal,2024-03-15 16:58:24
GJT,2021-06-01,AKRIMOTA THERMAL POWER STATION (ALTPS),,,,,Thermal,2024-03-15 16:58:24
GJT,2021-06-01,KSTPS 3-WR,,,,,Thermal,2024-03-15 16:58:24
GJT,2021-06-01,KSTPS-WR,,,,,Thermal,2024-03-15 16:58:24
GJT,2021-06-01,SIPAT_1,,,,,Thermal,2024-03-15 16:58:24
GJT,2021-06-01,SIPAT  2-WR,,,,,Thermal,2024-03-15 16:58:24
GJT,2021-06-01,SLPP-1,,,,,Thermal,2024-03-15 16:58:24
GJT,2021-06-01,SLPP  II,,,,,Thermal,2024-03-15 16:58:24
