StateCode,DateTime,PowerStationName,NonSchedule,Schedule,ChartShowingScheduleValue,ChartShowingNonScheduleValue,TypeOfGeneration,fetched_at
HP,2021-06-02,ANDHRA,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,BAIRASIUL HEP,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,BANER,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,BASSI,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,BHABA,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,BINWA,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,CHAMERA-III HEP,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,GAJ,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,GANVI,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,GIRI,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,KHAULI,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,LARJI,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,MICRO,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,PARBATI-III,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,PONG,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,SALAL HEP,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,URI HEP,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,BHAKRA,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,CHAMERA-II HEP,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,CHAMERA HEP,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,NATHPA JHAKRI HEP,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,DHAULIGANGA HEP,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,BASPA,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,TANAKPUR HEP,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,RAMPUR HEP,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,KOLDAM HEP,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,DEHAR,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,I A ENERGY (IA HEPL),,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-02,NAPP,,,,,Nuclear,2024-03-15 16:58:28
HP,2021-06-02,RAPPC,,,,,Nuclear,2024-03-15 16:58:28
HP,2021-06-02,ANTA (RLNG),,,,,Gas,2024-03-15 16:58:28
HP,2021-06-02,THIROT,,,,,,2024-03-15 16:58:28
HP,2021-06-02,RIHAND-III STPS,,,,,Thermal,2024-03-15 16:58:28
HP,2021-06-02,RIHAND STPS,,,,,Thermal,2024-03-15 16:58:28
HP,2021-06-02,RIHAND-II STPS,,,,,Thermal,2024-03-15 16:58:28
HP,2021-06-02,SINGRAULI STPS,,,,,Thermal,2024-03-15 16:58:28
HP,2021-06-02,DADRI (GAS),,,,,Gas,2024-03-15 16:58:28
HP,2021-06-02,KSTPPII_ER,,,,,Thermal,2024-03-15 16:58:28
HP,2021-06-02,ANTA (GAS),,,,,Gas,2024-03-15 16:58:28
HP,2021-06-02,AURAIYA (GAS),,,,,Gas,2024-03-15 16:58:28
HP,2021-06-02,TANDA-II,,,,,Thermal,2024-03-15 16:58:28
HP,2021-06-02,UNCHAHAR-IV,,,,,Thermal,2024-03-15 16:58:28
HP,2021-06-02,UNCHAHAR-I TPS,,,,,Thermal,2024-03-15 16:58:28
HP,2021-06-02,UNCHAHAR-III TPS,,,,,Thermal,2024-03-15 16:58:28
HP,2021-06-02,UNCHAHAR-II TPS,,,,,Thermal,2024-03-15 16:58:28
HP,2021-06-02,DADRI-II TPS,,,,,Thermal,2024-03-15 16:58:28
HP,2021-06-02,DADRI (RLNG),,,,,Gas,2024-03-15 16:58:28
HP,2021-06-02,AURAIYA (RLNG),,,,,Gas,2024-03-15 16:58:28
HP,2021-06-02,DADRI (LIQUID),,,,,Gas,2024-03-15 16:58:28
HP,2021-06-02,AURAIYA (LIQUID),,,,,Gas,2024-03-15 16:58:28
HP,2021-06-02,ANTA (LIQUID),,,,,Gas,2024-03-15 16:58:28
HP,2021-06-02,ANTANTPC,,,,,Gas,2024-03-15 16:58:28
HP,2021-06-03,ANDHRA,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-03,BAIRASIUL HEP,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-03,BANER,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-03,BASSI,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-03,BHABA,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-03,BINWA,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-03,CHAMERA-III HEP,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-03,GAJ,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-03,GANVI,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-03,GIRI,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-03,KHAULI,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-03,LARJI,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-03,MICRO,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-03,PARBATI-III,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-03,PONG,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-03,SALAL HEP,,,,,Hydro,2024-03-15 16:58:28
HP,2021-06-03,URI HEP,,,,,Hydro,2024-03-15 16:58:28
