StateCode,DateTime,PowerStationName,NonSchedule,Schedule,ChartShowingScheduleValue,ChartShowingNonScheduleValue,TypeOfGeneration,fetched_at
JAK,2021-06-01,MATCHIL,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,SEWA-III,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,STAKNA,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,GANDERBAL,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,L. JHELUM(LJHP),,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,UPPER SINDH (USHP)-I,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,CHENANI-I,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,KISHANGANA HYDEL PLANT,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,UPPER SINDH (USHP)-II,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,BADHERWAH,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,CHENANI-II,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,CHAMERA-II HEP,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,CHAMERA HEP,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,NATHPA JHAKRI HEP,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,URI HEP,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,CHENANI-III,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,DHAULIGANGA HEP,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,TANAKPUR HEP,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,RAMPUR HEP,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,SALAL HEP,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,IQBAL BRIDGE,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,KOTESHWAR,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,TALA,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,CHAMERA-III HEP,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,KOLDAM HEP,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,SEWA-II HEP,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,HUNDER,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,PARBATI-III,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,HAFTAL,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,BAGLIHAR - II,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,BAGLIHAR 1,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,IGO-MERCELLONG,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,MARPACHOO,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,TEHRI HEP,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,KARNAH,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,DULHASTI HEP,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,URI-II HEP,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,PAHALGAM,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,CHUTAK,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,BAZGO,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,SUMOOR,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,SANJAK,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,NIMO BAZGO,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,BAIRASIUL HEP,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,SINGRAULI_HYDRO,,,,,Hydro,2024-03-15 16:58:30
JAK,2021-06-01,NAPP,,,,,Nuclear,2024-03-15 16:58:30
JAK,2021-06-01,RAPPB,,,,,Nuclear,2024-03-15 16:58:30
JAK,2021-06-01,KAPS,,,,,Nuclear,2024-03-15 16:58:30
JAK,2021-06-01,TAPS 3&4,,,,,Nuclear,2024-03-15 16:58:30
JAK,2021-06-01,RAPPC,,,,,Nuclear,2024-03-15 16:58:30
JAK,2021-06-01,KAIGA 1&2,,,,,Nuclear,2024-03-15 16:58:30
JAK,2021-06-01,KAIGA 3 & 4,,,,,Nuclear,2024-03-15 16:58:30
JAK,2021-06-01,MAPS KALPAKKAM,,,,,Nuclear,2024-03-15 16:58:30
JAK,2021-06-01,"NPCIL,KKNPP",,,,,Nuclear,2024-03-15 16:58:30
JAK,2021-06-01,KSTPS 3-WR,,,,,Thermal,2024-03-15 16:58:30
JAK,2021-06-01,KSTPS-WR,,,,,Thermal,2024-03-15 16:58:30
JAK,2021-06-01,RIHAND STPS,,,,,Thermal,2024-03-15 16:58:30
JAK,2021-06-01,RIHAND-II STPS,,,,,Thermal,2024-03-15 16:58:30
JAK,2021-06-01,RIHAND-III STPS,,,,,Thermal,2024-03-15 16:58:30
JAK,2021-06-01,SIPAT_1,,,,,Thermal,2024-03-15 16:58:30
JAK,2021-06-01,SIPAT  2-WR,,,,,Thermal,2024-03-15 16:58:30
