StateCode,DateTime,PowerStationName,NonSchedule,Schedule,ChartShowingScheduleValue,ChartShowingNonScheduleValue,TypeOfGeneration,fetched_at
KRL,2021-06-03,WIND,,,,,Renewable,2024-03-15 16:58:35
KRL,2021-06-03,SOLAR,,,,,Renewable,2024-03-15 16:58:35
KRL,2021-06-03,ULLUNKAL,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-03,IRUTTUKKANAM,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-03,KARIKKAYAM,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-03,MEENVALLOM,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-03,HYDRO,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-03,SMALL HYDRO,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-03,MAPS KALPAKKAM,,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-03,KAIGA 1&2,,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-03,KAIGA 3 & 4,,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-03,KKNPP UNIT-2,,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-03,"NPCIL,KKNPP",,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-03,JITPL,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-03,BALCO_TPS,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-03,JPL-PPA2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-03,JINDAL POWER LIMITED STAGE-2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-03,JHABUA-PPA_2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-03,TALCHER STPS-2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-03,JHABUA POWER,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-03,MAITHON POWER LIMITED (MPL),,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-03,NNTPP-2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-03,NLC TPS I- EXPANSION,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-03,RAMAGUNDAM STPS STG-3,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-03,RAMAGUNDAM STPS STG-1&2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-03,NLC TPS II- EXPANSION,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-03,NLC TPS II- STG I,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-03,NLC TPS II- STG II,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-03,MEJIA TPS,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-03,RAGHUNATHPUR (DVC),,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-03,SIMHADRI STPS 2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-03,NTPL (NLC TAMILDANU POWER LIMI,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-03,VALLUR (NTECL) STPS,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-03,KUDGI STPS,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-03,JIINDAL POWER LIMITED STAGE-1,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-04,WIND,,,,,Renewable,2024-03-15 16:58:35
KRL,2021-06-04,SOLAR,,,,,Renewable,2024-03-15 16:58:35
KRL,2021-06-04,ULLUNKAL,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-04,IRUTTUKKANAM,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-04,KARIKKAYAM,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-04,MEENVALLOM,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-04,HYDRO,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-04,SMALL HYDRO,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-04,MAPS KALPAKKAM,,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-04,KAIGA 1&2,,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-04,KAIGA 3 & 4,,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-04,KKNPP UNIT-2,,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-04,"NPCIL,KKNPP",,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-04,JITPL,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-04,BALCO_TPS,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-04,JPL-PPA2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-04,JINDAL POWER LIMITED STAGE-2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-04,JHABUA-PPA_2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-04,TALCHER STPS-2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-04,JHABUA POWER,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-04,MAITHON POWER LIMITED (MPL),,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-04,NNTPP-2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-04,NLC TPS I- EXPANSION,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-04,RAMAGUNDAM STPS STG-3,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-04,RAMAGUNDAM STPS STG-1&2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-04,NLC TPS II- EXPANSION,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-04,NLC TPS II- STG I,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-04,NLC TPS II- STG II,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-04,MEJIA TPS,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-04,RAGHUNATHPUR (DVC),,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-04,SIMHADRI STPS 2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-04,NTPL (NLC TAMILDANU POWER LIMI,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-04,VALLUR (NTECL) STPS,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-04,KUDGI STPS,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-04,JIINDAL POWER LIMITED STAGE-1,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-05,WIND,,,,,Renewable,2024-03-15 16:58:35
KRL,2021-06-05,SOLAR,,,,,Renewable,2024-03-15 16:58:35
KRL,2021-06-05,ULLUNKAL,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-05,IRUTTUKKANAM,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-05,KARIKKAYAM,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-05,MEENVALLOM,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-05,HYDRO,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-05,SMALL HYDRO,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-05,MAPS KALPAKKAM,,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-05,KAIGA 1&2,,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-05,KAIGA 3 & 4,,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-05,KKNPP UNIT-2,,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-05,"NPCIL,KKNPP",,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-05,JITPL,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-05,BALCO_TPS,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-05,JPL-PPA2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-05,JINDAL POWER LIMITED STAGE-2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-05,JHABUA-PPA_2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-05,TALCHER STPS-2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-05,JHABUA POWER,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-05,MAITHON POWER LIMITED (MPL),,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-05,NNTPP-2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-05,NLC TPS I- EXPANSION,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-05,RAMAGUNDAM STPS STG-3,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-05,RAMAGUNDAM STPS STG-1&2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-05,NLC TPS II- EXPANSION,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-05,NLC TPS II- STG I,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-05,NLC TPS II- STG II,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-05,MEJIA TPS,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-05,RAGHUNATHPUR (DVC),,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-05,SIMHADRI STPS 2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-05,NTPL (NLC TAMILDANU POWER LIMI,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-05,VALLUR (NTECL) STPS,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-05,KUDGI STPS,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-05,JIINDAL POWER LIMITED STAGE-1,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-06,WIND,,,,,Renewable,2024-03-15 16:58:35
KRL,2021-06-06,SOLAR,,,,,Renewable,2024-03-15 16:58:35
KRL,2021-06-06,ULLUNKAL,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-06,IRUTTUKKANAM,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-06,KARIKKAYAM,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-06,MEENVALLOM,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-06,HYDRO,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-06,SMALL HYDRO,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-06,MAPS KALPAKKAM,,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-06,KAIGA 1&2,,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-06,KAIGA 3 & 4,,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-06,KKNPP UNIT-2,,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-06,"NPCIL,KKNPP",,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-06,JITPL,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-06,BALCO_TPS,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-06,JPL-PPA2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-06,JINDAL POWER LIMITED STAGE-2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-06,JHABUA-PPA_2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-06,TALCHER STPS-2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-06,JHABUA POWER,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-06,MAITHON POWER LIMITED (MPL),,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-06,NNTPP-2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-06,NLC TPS I- EXPANSION,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-06,RAMAGUNDAM STPS STG-3,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-06,RAMAGUNDAM STPS STG-1&2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-06,NLC TPS II- EXPANSION,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-06,NLC TPS II- STG I,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-06,NLC TPS II- STG II,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-06,MEJIA TPS,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-06,RAGHUNATHPUR (DVC),,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-06,SIMHADRI STPS 2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-06,NTPL (NLC TAMILDANU POWER LIMI,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-06,VALLUR (NTECL) STPS,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-06,KUDGI STPS,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-06,JIINDAL POWER LIMITED STAGE-1,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-07,WIND,,,,,Renewable,2024-03-15 16:58:35
KRL,2021-06-07,SOLAR,,,,,Renewable,2024-03-15 16:58:35
KRL,2021-06-07,ULLUNKAL,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-07,IRUTTUKKANAM,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-07,KARIKKAYAM,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-07,MEENVALLOM,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-07,HYDRO,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-07,SMALL HYDRO,,,,,Hydro,2024-03-15 16:58:35
KRL,2021-06-07,MAPS KALPAKKAM,,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-07,KAIGA 1&2,,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-07,KAIGA 3 & 4,,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-07,KKNPP UNIT-2,,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-07,"NPCIL,KKNPP",,,,,Nuclear,2024-03-15 16:58:35
KRL,2021-06-07,JITPL,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-07,BALCO_TPS,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-07,JPL-PPA2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-07,JINDAL POWER LIMITED STAGE-2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-07,JHABUA-PPA_2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-07,TALCHER STPS-2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-07,JHABUA POWER,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-07,MAITHON POWER LIMITED (MPL),,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-07,NNTPP-2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-07,NLC TPS I- EXPANSION,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-07,RAMAGUNDAM STPS STG-3,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-07,RAMAGUNDAM STPS STG-1&2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-07,NLC TPS II- EXPANSION,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-07,NLC TPS II- STG I,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-07,NLC TPS II- STG II,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-07,MEJIA TPS,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-07,RAGHUNATHPUR (DVC),,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-07,SIMHADRI STPS 2,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-07,NTPL (NLC TAMILDANU POWER LIMI,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-07,VALLUR (NTECL) STPS,,,,,Thermal,2024-03-15 16:58:35
KRL,2021-06-07,KUDGI STPS,,,,,Thermal,2024-03-15 16:58:35
