StateCode,DateTime,PowerStationName,NonSchedule,Schedule,ChartShowingScheduleValue,ChartShowingNonScheduleValue,TypeOfGeneration,fetched_at
KRT,2021-06-01,LINGANAMAKKI (LDPH),,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-01,SHARAVATHY,,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-01,NAGJHARI,,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-01,SUPA,,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-01,MUNIRABAD,,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-01,SHIMSHAPURA,,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-01,SHIVASAMUDRAM,,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-01,KODASALLI,,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-01,"MGHE, JOGFALLS",,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-01,MANI DAM POWER HOUSE (MDPH),,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-01,VARAHI,,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-01,GERUSOPPA P H,,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-01,KADRA,,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-01,GHATAPRABHA,,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-01,ALMATTI DAM POWER HOUSE,,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-01,BHADRA,,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-01,MAPS KALPAKKAM,,,,,Nuclear,2024-03-15 16:58:33
KRT,2021-06-01,KAIGA 1&2,,,,,Nuclear,2024-03-15 16:58:33
KRT,2021-06-01,KAIGA 3 & 4,,,,,Nuclear,2024-03-15 16:58:33
KRT,2021-06-01,KKNPP UNIT-2,,,,,Nuclear,2024-03-15 16:58:33
KRT,2021-06-01,"NPCIL,KKNPP",,,,,Nuclear,2024-03-15 16:58:33
KRT,2021-06-01,TALCHER STPS-2,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,NLC TPS I- EXPANSION,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,NLC TPS II- EXPANSION,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,RAMAGUNDAM STPS STG-3,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,KODERMA (DVC),,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,RAMAGUNDAM STPS STG-1&2,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,BTPS-3,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,NLC TPS II- STG I,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,NLC TPS II- STG II,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,BTPS-1,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,UPCL,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,BTPS-2,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,RTPS 1 TO 7,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,RTPS 8,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,YERAMARUS TPS,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,MEJIA TPS,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,SIMHADRI STPS 2,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,VALLUR (NTECL) STPS,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,KUDGI STPS,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,NTPL (NLC TAMILDANU POWER LIMI,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,WIND,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,SOLAR ,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,OTHERS,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-01,TB DAM SHARE,,,,,Thermal,2024-03-15 16:58:33
KRT,2021-06-04,LINGANAMAKKI (LDPH),,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-04,SHARAVATHY,,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-04,NAGJHARI,,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-04,SUPA,,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-04,MUNIRABAD,,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-04,SHIMSHAPURA,,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-04,SHIVASAMUDRAM,,,,,Hydro,2024-03-15 16:58:33
KRT,2021-06-04,KODASALLI,,,,,Hydro,2024-03-15 16:58:33
