StateCode,DateTime,PowerStationName,NonSchedule,Schedule,ChartShowingScheduleValue,ChartShowingNonScheduleValue,TypeOfGeneration,fetched_at
MHA,2021-06-04,DAHANU SOLAR POWER PRIVATE LIMITED (DSPPL),,,,,Renewable,2024-03-15 16:58:38
MHA,2021-06-04,SOLAR,,,,,Renewable,2024-03-15 16:58:38
MHA,2021-06-04,WIND,,,,,Renewable,2024-03-15 16:58:38
MHA,2021-06-04,SSP,,,,,Hydro,2024-03-15 16:58:38
MHA,2021-06-04,KAPS,,,,,Nuclear,2024-03-15 16:58:38
MHA,2021-06-04,TAPS 3&4,,,,,Nuclear,2024-03-15 16:58:38
MHA,2021-06-04,TROMBAY UNIT-6,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,KSTPS 3-WR,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,KSTPS-WR,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,VSTPS 3,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,VTPS 2,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,VSTPS 4,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,VSTPS-5,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,SIPAT_1,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,VTPS 1,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,SIPAT  2-WR,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,CGPL MUNDRA UMPP,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,GTPS URAN (UNIT 05 TO 10),,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,"ADANI TIRODA (UNIT- 2,3)",,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,EMCO,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,TROMBAY UNIT-7,,,,,Gas,2024-03-15 16:58:38
MHA,2021-06-04,"JSW U1, JAIGAD",,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,GANDHAR ,,,,,Gas,2024-03-15 16:58:38
MHA,2021-06-04,KORADI UNIT - 08 TO 10,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,KAWAS GAS,,,,,Gas,2024-03-15 16:58:38
MHA,2021-06-04,"CHANDRAPUR UNIT - 08,09",,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,PARAS UNIT - 03 & 04,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,KORADI UNIT - 05 TO 07,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,CHANDRAPUR UNIT - 03 TO 07,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,KHAPERKHEDA UNIT - 05,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,"ADANI- TIRODA (UNIT- 1,4,5)",,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,KSTPPII_ER,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,"ADANI- TIRODA (UNIT- 1,4,5)",,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,VIDARBHA INDUSRTIES POWER LTD. (VIPL UNIT 1 & 2),,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,GAN_NAPM,,,,,Gas,2024-03-15 16:58:38
MHA,2021-06-04,KAWAS NAPM,,,,,Gas,2024-03-15 16:58:38
MHA,2021-06-04,KHAPERKHEDA UNIT - 01 TO 04,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,BHUSAWAL UNIT - 04 & 05,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,MAUDA-II,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,MAUDA-I,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,PARALI UNIT -08,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,RATAN INDIA UNIT-01 TO 05,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,BHUSAWAL UNIT - 2 & 3,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,NASIK UNIT - 03 TO 05,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,DAHANU THERMAL POWER STATION (DTPS UNIT 1 & 2),,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,PARALI UNIT - 06 & 07,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,TROMBAY UNIT-5,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,TROMBAY UNIT-8,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,GANDHAR RLNG,,,,,Gas,2024-03-15 16:58:38
MHA,2021-06-04,KAWAS RLNG,,,,,Gas,2024-03-15 16:58:38
MHA,2021-06-04,KAWAS LIQUID,,,,,Gas,2024-03-15 16:58:38
MHA,2021-06-04,GADARWARA-I,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,KHARGONE,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,LARA-1,,,,,Thermal,2024-03-15 16:58:38
MHA,2021-06-04,RGPPL,,,,,Gas,2024-03-15 16:58:38
