StateCode,DateTime,PowerStationName,NonSchedule,Schedule,ChartShowingScheduleValue,ChartShowingNonScheduleValue,TypeOfGeneration,fetched_at
NGD,2021-06-02,LIKHIMRO,,,,,Hydro,2024-03-15 16:58:44
NGD,2021-06-02,"KOPILI-1, NEEPCO",,,,,Hydro,2024-03-15 16:58:44
NGD,2021-06-02,"KHANDONG, NEEPCO",,,,,Hydro,2024-03-15 16:58:44
NGD,2021-06-02,"RANGANADI, NEEPCO",,,,,Hydro,2024-03-15 16:58:44
NGD,2021-06-02,"KOPILI-2, NEEPCO",,,,,Hydro,2024-03-15 16:58:44
NGD,2021-06-02,"LOKTAK, NHPC",,,,,Hydro,2024-03-15 16:58:44
NGD,2021-06-02,"DOYANG, NEEPCO",,,,,Hydro,2024-03-15 16:58:44
NGD,2021-06-02,"AGBPP, NEEPCO",,,,,Gas,2024-03-15 16:58:44
NGD,2021-06-02,AGTPP-CC,,,,,Gas,2024-03-15 16:58:44
NGD,2021-06-02,PALATANA,,,,,Gas,2024-03-15 16:58:44
NGD,2021-06-02,TALCHER,,,,,Thermal,2024-03-15 16:58:44
NGD,2021-06-02,KAHALGAON - I,,,,,Thermal,2024-03-15 16:58:44
NGD,2021-06-02,FARAKKA,,,,,Thermal,2024-03-15 16:58:44
NGD,2021-06-02,NTPC BONGAIGAON,,,,,Thermal,2024-03-15 16:58:44
NGD,2021-06-01,LIKHIMRO,,,,,Hydro,2024-03-15 16:58:44
NGD,2021-06-01,"KOPILI-1, NEEPCO",,,,,Hydro,2024-03-15 16:58:44
NGD,2021-06-01,"KHANDONG, NEEPCO",,,,,Hydro,2024-03-15 16:58:44
NGD,2021-06-01,"RANGANADI, NEEPCO",,,,,Hydro,2024-03-15 16:58:44
NGD,2021-06-01,"KOPILI-2, NEEPCO",,,,,Hydro,2024-03-15 16:58:44
NGD,2021-06-01,"LOKTAK, NHPC",,,,,Hydro,2024-03-15 16:58:44
NGD,2021-06-01,"DOYANG, NEEPCO",,,,,Hydro,2024-03-15 16:58:44
NGD,2021-06-01,"AGBPP, NEEPCO",,,,,Gas,2024-03-15 16:58:44
