StateCode,DateTime,PowerStationName,NonSchedule,Schedule,ChartShowingScheduleValue,ChartShowingNonScheduleValue,TypeOfGeneration,fetched_at
PNB,2021-06-03,TOTAL SOLAR,,,,,Renewable,2024-03-15 16:58:51
PNB,2021-06-03,BAIRASIUL HEP,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,BHAKRA,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,DEHAR,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,PONG,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,CHAMERA-II HEP,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,CHAMERA HEP,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,NATHPA JHAKRI HEP,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,URI HEP,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,DHAULIGANGA HEP,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,TANAKPUR HEP,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,RAMPUR HEP,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,SALAL HEP,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,KOTESHWAR,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,CHAMERA-III HEP,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,TALA,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,KOLDAM HEP,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,SEWA-II HEP,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,TEHRI HEP,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,MALANA-II HEP,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,PARBATI-III,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,DULHASTI HEP,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,URI-II HEP,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,TOTAL HYDRO,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-03,NAPP,,,,,Nuclear,2024-03-15 16:58:51
PNB,2021-06-03,RAPPB,,,,,Nuclear,2024-03-15 16:58:51
PNB,2021-06-03,RAPPC,,,,,Nuclear,2024-03-15 16:58:51
PNB,2021-06-03,SASAN UMPP,,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-03,CGPL MUNDRA UMPP,,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-03,RIHAND STPS,,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-03,RIHAND-II STPS,,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-03,RIHAND-III STPS,,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-03,SINGRAULI STPS,,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-03,RAGHUNATHPUR (DVC),,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-03,DURGAPUR STEEL THEMAL POWER STATION (DSTPS),,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-03,PRAGATI-III GAS PLANT BAWANA,,,,,Gas,2024-03-15 16:58:51
PNB,2021-06-03,NABHA POWER LTD. RAJPURA,,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-03,KSTPPII_ER,,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-03,KAHALGAON - I,,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-03,ANTA (GAS),,,,,Gas,2024-03-15 16:58:51
PNB,2021-06-03,DADRI (GAS),,,,,Gas,2024-03-15 16:58:51
PNB,2021-06-03,FARAKKA,,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-03,TALWANDI SABOO,,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-03,JHAJJAR,,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-03,DADRI-II TPS,,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-03,GOVINDWAL (GVK),,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-03,UNCHAHAR-I TPS,,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-03,UNCHAHAR-II TPS,,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-03,UNCHAHAR-III TPS,,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-03,AURAIYA (GAS),,,,,Gas,2024-03-15 16:58:51
PNB,2021-06-03,BATHINDA,,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-03,GURU HARGOBIND SINGH TPS (GHTPS),,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-03,RTPS,,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-03,ANTA (RLNG),,,,,Gas,2024-03-15 16:58:51
PNB,2021-06-03,DADRI (RLNG),,,,,Gas,2024-03-15 16:58:51
PNB,2021-06-03,AURAIYA (RLNG),,,,,Gas,2024-03-15 16:58:51
PNB,2021-06-03,DADRI (LIQUID),,,,,Gas,2024-03-15 16:58:51
PNB,2021-06-03,ANTA (LIQUID),,,,,Gas,2024-03-15 16:58:51
PNB,2021-06-03,AURAIYA (LIQUID),,,,,Gas,2024-03-15 16:58:51
PNB,2021-06-03,ANTANTPC,,,,,Gas,2024-03-15 16:58:51
PNB,2021-06-03,TOTAL BIOMASS,,,,,Thermal,2024-03-15 16:58:51
PNB,2021-06-05,TOTAL SOLAR,,,,,Renewable,2024-03-15 16:58:51
PNB,2021-06-05,BAIRASIUL HEP,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-05,BHAKRA,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-05,DEHAR,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-05,PONG,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-05,CHAMERA-II HEP,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-05,CHAMERA HEP,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-05,NATHPA JHAKRI HEP,,,,,Hydro,2024-03-15 16:58:51
PNB,2021-06-05,URI HEP,,,,,Hydro,2024-03-15 16:58:51
