StateCode,DateTime,PowerStationName,NonSchedule,Schedule,ChartShowingScheduleValue,ChartShowingNonScheduleValue,TypeOfGeneration,fetched_at
RJ,2021-06-01,BIOMASS,,,,,Renewable,2024-03-15 16:58:53
RJ,2021-06-01,SOLAR,,,,,Renewable,2024-03-15 16:58:53
RJ,2021-06-01,WIND,,,,,Renewable,2024-03-15 16:58:53
RJ,2021-06-01,MAHI,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,CHAMERA-II HEP,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,CHAMERA HEP,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,NATHPA JHAKRI HEP,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,DHAULIGANGA HEP,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,URI HEP,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,PARBATI-III,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,TANAKPUR HEP,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,SALAL HEP,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,KARCHAM WANGTOO (KWHEP),,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,CHAMERA-III HEP,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,TEHRI HEP,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,RAMPUR HEP,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,TALA,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,KOTESHWAR,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,TUL,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,KOLDAM HEP,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,SINGRAULI HEP,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,SEWA-II HEP,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,URI-II HEP,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,DULHASTI HEP,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,BHAKRA,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,DEHAR,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,JAWAHAR SAGAR HEP,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,PONG,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,RANAPRATAP SAGAR,,,,,Hydro,2024-03-15 16:58:53
RJ,2021-06-01,NAPP,,,,,Nuclear,2024-03-15 16:58:53
RJ,2021-06-01,RAPS A (NPC),,,,,Nuclear,2024-03-15 16:58:53
RJ,2021-06-01,RAPPB,,,,,Nuclear,2024-03-15 16:58:53
