StateCode,DateTime,PowerStationName,NonSchedule,Schedule,ChartShowingScheduleValue,ChartShowingNonScheduleValue,TypeOfGeneration,fetched_at
SKM,2021-06-01,TEESTA,,,,,Hydro,2024-03-15 16:58:55
SKM,2021-06-01,RANGEET,,,,,Hydro,2024-03-15 16:58:55
SKM,2021-06-01,TALCHER,,,,,Thermal,2024-03-15 16:58:55
SKM,2021-06-01,KSTPPII_ER,,,,,Thermal,2024-03-15 16:58:55
SKM,2021-06-01,KAHALGAON - I,,,,,Thermal,2024-03-15 16:58:55
SKM,2021-06-01,BARH STG-II,,,,,Thermal,2024-03-15 16:58:55
SKM,2021-06-01,FARAKKA,,,,,Thermal,2024-03-15 16:58:55
SKM,2021-06-01,DARIPALINTPC,,,,,Thermal,2024-03-15 16:58:55
SKM,2021-06-04,TEESTA,,,,,Hydro,2024-03-15 16:58:55
SKM,2021-06-04,RANGEET,,,,,Hydro,2024-03-15 16:58:55
SKM,2021-06-04,TALCHER,,,,,Thermal,2024-03-15 16:58:55
SKM,2021-06-04,KSTPPII_ER,,,,,Thermal,2024-03-15 16:58:55
SKM,2021-06-04,KAHALGAON - I,,,,,Thermal,2024-03-15 16:58:55
SKM,2021-06-04,BARH STG-II,,,,,Thermal,2024-03-15 16:58:55
SKM,2021-06-04,FARAKKA,,,,,Thermal,2024-03-15 16:58:55
SKM,2021-06-04,DARIPALINTPC,,,,,Thermal,2024-03-15 16:58:55
SKM,2021-06-05,TEESTA,,,,,Hydro,2024-03-15 16:58:55
SKM,2021-06-05,RANGEET,,,,,Hydro,2024-03-15 16:58:55
SKM,2021-06-05,TALCHER,,,,,Thermal,2024-03-15 16:58:55
SKM,2021-06-05,KSTPPII_ER,,,,,Thermal,2024-03-15 16:58:55
SKM,2021-06-05,KAHALGAON - I,,,,,Thermal,2024-03-15 16:58:55
SKM,2021-06-05,BARH STG-II,,,,,Thermal,2024-03-15 16:58:55
