StateCode,DateTime,PowerStationName,NonSchedule,Schedule,ChartShowingScheduleValue,ChartShowingNonScheduleValue,TypeOfGeneration,fetched_at
TND,2021-06-02,SOLAR,,,,,Renewable,2024-03-15 16:58:56
TND,2021-06-02,WIND,,,,,Renewable,2024-03-15 16:58:56
TND,2021-06-02,MAPS KALPAKKAM,,,,,Nuclear,2024-03-15 16:58:56
TND,2021-06-02,KAIGA 1&2,,,,,Nuclear,2024-03-15 16:58:56
TND,2021-06-02,KAIGA 3 & 4,,,,,Nuclear,2024-03-15 16:58:56
TND,2021-06-02,KKNPP UNIT-2,,,,,Nuclear,2024-03-15 16:58:56
TND,2021-06-02,"NPCIL,KKNPP",,,,,Nuclear,2024-03-15 16:58:56
TND,2021-06-02,VALUTHUR GTPS STAGE 1 & 2,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,KUTTALAM GTPS,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,ADHUNIK POWER AND NATURAL GAS ,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,TALCHER,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,TALCHER STPS-2,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,KAHALGAON - I,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,JINDAL POWER LIMITED STAGE-2,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,GMR (EMCO),,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,NNTPP,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,DB POWER,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,KSK MAHANADI,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,NLC TPS I- EXPANSION,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,RAMAGUNDAM STPS STG-3,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,RAMAGUNDAM STPS STG-1&2,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,NLC TPS II- EXPANSION,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,NCTPS STAGE 2,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,CPP_BIOMASS_COGEN,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,NCTPS STAGE 1,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,NLC TPS II- STG I,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,NLC TPS II- STG II,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,FARAKKA,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,DHARIWAL,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,SIMHADRI STPS 2,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,NTPL (NLC TAMILDANU POWER LIMI,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,TAQA (STCMS),,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,ILFS(LTOA),,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,KOVILKALAPPAL GTPS,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,BALCO ,,,,,Thermal,2024-03-15 16:58:56
TND,2021-06-02,VALLUR (NTECL) STPS,,,,,Thermal,2024-03-15 16:58:56
