StateCode,DateTime,PowerStationName,NonSchedule,Schedule,ChartShowingScheduleValue,ChartShowingNonScheduleValue,TypeOfGeneration,fetched_at
UTK,2021-06-03,SOLAR,,,,,Renewable,2024-03-15 16:59:02
UTK,2021-06-03,CHIBRO,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,CHILLA,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,KHODRI,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,KULHAL,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,SALAL HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,DHAKRANI,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,MANERI BHALI,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,DHALIPUR,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,DHARASU,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,URI HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,KHATIMA,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,CHAMERA-II HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,CHAMERA HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,NATHPA JHAKRI HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,PATHRI,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,DHAULIGANGA HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,TANAKPUR HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,RAMPUR HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,MOHAMMADPUR,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,KOTESHWAR,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,CHAMERA-III HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,SEWA-II HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,KOLDAM HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,URI-II HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,TEHRI HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,PARBATI-III,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,DULHASTI HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,BHILANGANA,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,ALAKNANDA HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-03,NAPP,,,,,Nuclear,2024-03-15 16:59:02
UTK,2021-06-03,RAPPC,,,,,Nuclear,2024-03-15 16:59:02
UTK,2021-06-03,SASAN UMPP,,,,,Thermal,2024-03-15 16:59:02
UTK,2021-06-03,RIHAND-II STPS,,,,,Thermal,2024-03-15 16:59:02
UTK,2021-06-03,RIHAND STPS,,,,,Thermal,2024-03-15 16:59:02
UTK,2021-06-03,RIHAND-III STPS,,,,,Thermal,2024-03-15 16:59:02
UTK,2021-06-03,SINGRAULI STPS,,,,,Thermal,2024-03-15 16:59:02
UTK,2021-06-03,KSTPPII_ER,,,,,Thermal,2024-03-15 16:59:02
UTK,2021-06-03,ANTA (GAS),,,,,Gas,2024-03-15 16:59:02
UTK,2021-06-03,AURAIYA (GAS),,,,,Gas,2024-03-15 16:59:02
UTK,2021-06-03,UNCHAHAR-I TPS,,,,,Thermal,2024-03-15 16:59:02
UTK,2021-06-03,UNCHAHAR-II TPS,,,,,Thermal,2024-03-15 16:59:02
UTK,2021-06-03,UNCHAHAR-III TPS,,,,,Thermal,2024-03-15 16:59:02
UTK,2021-06-03,JHAJJAR,,,,,Thermal,2024-03-15 16:59:02
UTK,2021-06-03,DADRI-II TPS,,,,,Thermal,2024-03-15 16:59:02
UTK,2021-06-03,DADRI (GAS),,,,,Gas,2024-03-15 16:59:02
UTK,2021-06-03,GAMMA,,,,,Gas,2024-03-15 16:59:02
UTK,2021-06-03,ANTA (RLNG),,,,,Gas,2024-03-15 16:59:02
UTK,2021-06-03,SEPL,,,,,Gas,2024-03-15 16:59:02
UTK,2021-06-03,DADRI (RLNG),,,,,Gas,2024-03-15 16:59:02
UTK,2021-06-03,AURAIYA (RLNG),,,,,Gas,2024-03-15 16:59:02
UTK,2021-06-03,DADRI (LIQUID),,,,,Gas,2024-03-15 16:59:02
UTK,2021-06-03,ANTA (LIQUID),,,,,Gas,2024-03-15 16:59:02
UTK,2021-06-03,AURAIYA (LIQUID),,,,,Gas,2024-03-15 16:59:02
UTK,2021-06-03,ANTANTPC,,,,,Gas,2024-03-15 16:59:02
UTK,2021-06-03,TRN ENERGY PVT. LTD.,,,,,Thermal,2024-03-15 16:59:02
UTK,2021-06-03,UNCHAHAR4,,,,,Thermal,2024-03-15 16:59:02
UTK,2021-06-01,SOLAR,,,,,Renewable,2024-03-15 16:59:02
UTK,2021-06-01,CHIBRO,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-01,CHILLA,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-01,KHODRI,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-01,KULHAL,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-01,SALAL HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-01,DHAKRANI,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-01,MANERI BHALI,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-01,DHALIPUR,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-01,DHARASU,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-01,URI HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-01,KHATIMA,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-01,CHAMERA-II HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-01,CHAMERA HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-01,NATHPA JHAKRI HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-01,PATHRI,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-01,DHAULIGANGA HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-01,TANAKPUR HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-01,RAMPUR HEP,,,,,Hydro,2024-03-15 16:59:02
UTK,2021-06-01,MOHAMMADPUR,,,,,Hydro,2024-03-15 16:59:02
