StateCode,Datetime,Demand,ISGS,ImportData
ASM,2024-03-11 12:45:00,"1,211",313,898
DND,2024-03-11 12:45:00,326,,326
BHR,2024-03-11 12:45:00,"3,482",462,"3,020"
CHG,2024-03-11 12:45:00,147,,147
ACP,2024-03-11 12:45:00,117,,117
DNH,2024-03-11 12:45:00,869,,869
AP,2024-03-11 12:45:01,"12,893","7,365","5,528"
GOA,2024-03-11 12:45:00,473,,473
DL,2024-03-11 12:45:02,"3,510",28,"3,482"
CTG,2024-03-11 12:45:02,"5,632","2,428","3,204"
HP,2024-03-11 12:45:07,"1,435",232,"1,203"
KRT,2024-03-11 12:45:09,"16,360","9,584","6,776"
JHK,2024-03-11 12:45:10,"1,523",409,"1,114"
HRN,2024-03-11 12:45:10,"7,298","1,549","5,749"
MPD,2024-03-11 12:45:11,"11,924","5,034","6,890"
JAK,2024-03-11 12:45:11,"2,247",269,"1,978"
GJT,2024-03-11 12:45:12,"19,288","12,935","6,353"
MHA,2024-03-11 12:45:12,"27,543","18,146","9,397"
MIP,2024-03-11 12:45:12,109,,109
KRL,2024-03-11 12:45:13,"3,957",767,"3,190"
MGA,2024-03-11 12:45:18,244,0,244
PU,2024-03-11 12:45:20,376,,376
NGD,2024-03-11 12:45:20,92,,92
RJ,2024-03-11 12:45:20,"15,091","11,376","3,715"
ODI,2024-03-11 12:45:21,"5,597","3,260","2,337"
SKM,2024-03-11 12:45:21,82,,82
PNB,2024-03-11 12:45:21,"7,903","3,713","4,190"
MZM,2024-03-11 12:45:21,78,,78
TND,2024-03-11 12:45:22,"18,333","9,358","8,975"
TLG,2024-03-11 12:45:22,"14,338","6,572","7,766"
UTK,2024-03-11 12:45:23,"1,521",320,"1,201"
TPA,2024-03-11 12:45:24,168,122,46
UP,2024-03-11 12:45:24,"14,391","11,863","2,528"
BGL,2024-03-11 12:45:25,"7,397","6,014","1,383"
CHG,2024-03-11 14:32:08,139,,139
DNH,2024-03-11 14:32:08,889,,889
BHR,2024-03-11 14:32:08,"3,346",458,"2,888"
CTG,2024-03-11 14:32:08,"5,584","2,458","3,126"
ASM,2024-03-11 14:32:08,"1,192",313,879
ACP,2024-03-11 14:32:08,116,,116
AP,2024-03-11 14:32:08,"12,639","7,348","5,291"
DND,2024-03-11 14:32:09,340,,340
GOA,2024-03-11 14:32:09,466,,466
DL,2024-03-11 14:32:10,"3,148",31,"3,117"
GJT,2024-03-11 14:32:14,"19,773","12,708","7,065"
KRT,2024-03-11 14:32:15,"16,444","8,801","7,643"
KRL,2024-03-11 14:32:15,"4,225",794,"3,431"
MGA,2024-03-11 14:32:17,244,0,244
JHK,2024-03-11 14:32:21,"1,303",409,894
HRN,2024-03-11 14:32:21,"6,872","1,835","5,037"
MIP,2024-03-11 14:32:21,109,,109
MHA,2024-03-11 14:32:22,"27,642","17,869","9,773"
MZM,2024-03-11 14:32:22,87,,87
MPD,2024-03-11 14:32:23,"11,281","4,758","6,523"
HP,2024-03-11 14:32:23,"1,380",210,"1,170"
JAK,2024-03-11 14:32:24,"2,203",279,"1,924"
NGD,2024-03-11 14:32:24,97,,97
ODI,2024-03-11 14:32:29,"5,633","3,260","2,373"
PNB,2024-03-11 14:32:31,"7,706","3,834","3,872"
PU,2024-03-11 14:32:32,389,,389
RJ,2024-03-11 14:32:32,"14,904","11,494","3,410"
UP,2024-03-11 14:32:32,"9,316","9,316",0
SKM,2024-03-11 14:32:33,83,,83
UTK,2024-03-11 14:32:33,"1,429",356,"1,073"
TPA,2024-03-11 14:32:34,155,122,33
TLG,2024-03-11 14:32:34,"14,291","6,183","8,108"
TND,2024-03-11 14:32:34,"17,907","8,974","8,933"
BGL,2024-03-11 14:32:34,"7,025","5,989","1,036"
ASM,2024-03-11 14:47:06,"1,187",313,874
ACP,2024-03-11 14:47:07,116,,116
AP,2024-03-11 14:47:09,"12,788","7,127","5,661"
BHR,2024-03-11 14:47:09,"3,394",,"3,394"
DND,2024-03-11 14:47:09,342,,342
CHG,2024-03-11 14:47:11,140,,140
DNH,2024-03-11 14:47:11,893,,893
DL,2024-03-11 14:47:12,"3,189",31,"3,158"
CTG,2024-03-11 14:47:12,"5,415","2,363","3,052"
HRN,2024-03-11 14:47:13,"6,719","1,852","4,867"
GOA,2024-03-11 14:47:14,469,,469
GJT,2024-03-11 14:47:14,"19,903","12,727","7,176"
JAK,2024-03-11 14:47:17,"2,217",279,"1,938"
KRT,2024-03-11 14:47:19,"16,412","9,252","7,160"
HP,2024-03-11 14:47:21,"1,410",201,"1,209"
JHK,2024-03-11 14:47:21,"1,333",409,924
MGA,2024-03-11 14:47:22,244,0,244
MZM,2024-03-11 14:47:22,90,,90
KRL,2024-03-11 14:47:22,"4,318",847,"3,471"
MHA,2024-03-11 14:47:23,"27,779","18,112","9,667"
NGD,2024-03-11 14:47:24,97,,97
MPD,2024-03-11 14:47:24,"11,273","4,777","6,496"
MIP,2024-03-11 14:47:26,109,,109
ODI,2024-03-11 14:47:27,"5,618","3,260","2,358"
SKM,2024-03-11 14:47:30,83,,83
RJ,2024-03-11 14:47:30,"14,987","11,538","3,449"
TND,2024-03-11 14:47:31,"17,853","8,824","9,029"
BGL,2024-03-11 14:47:32,"6,988","5,989",999
PNB,2024-03-11 14:47:33,"7,750","3,831","3,919"
TLG,2024-03-11 14:47:33,"14,297","6,054","8,243"
UP,2024-03-11 14:47:33,"9,316","9,316",0
PU,2024-03-11 14:47:33,384,,384
TPA,2024-03-11 14:47:34,154,122,32
UTK,2024-03-11 14:47:34,"1,411",363,"1,048"
CTG,2024-03-11 15:47:12,"5,699","2,310","3,389"
ACP,2024-03-11 15:47:12,116,,116
ASM,2024-03-11 15:47:12,"1,201",313,888
CHG,2024-03-11 15:47:12,144,,144
BHR,2024-03-11 15:47:12,"3,423",462,"2,961"
DL,2024-03-11 15:47:12,"3,108",30,"3,078"
DNH,2024-03-11 15:47:12,897,,897
DND,2024-03-11 15:47:12,349,,349
AP,2024-03-11 15:47:13,"11,906","6,760","5,146"
GOA,2024-03-11 15:47:14,524,,524
HRN,2024-03-11 15:47:20,"6,501","1,953","4,548"
KRT,2024-03-11 15:47:21,"16,246","8,729","7,517"
GJT,2024-03-11 15:47:21,"19,775","12,175","7,600"
JHK,2024-03-11 15:47:22,"1,297",409,888
JAK,2024-03-11 15:47:22,"2,297",278,"2,019"
KRL,2024-03-11 15:47:22,"4,388","1,000","3,388"
MIP,2024-03-11 15:47:23,109,,109
HP,2024-03-11 15:47:23,"1,395",220,"1,175"
MHA,2024-03-11 15:47:23,"28,119","18,550","9,569"
MPD,2024-03-11 15:47:24,"11,368","4,808","6,560"
MZM,2024-03-11 15:47:30,101,,101
MGA,2024-03-11 15:47:30,244,0,244
NGD,2024-03-11 15:47:31,107,,107
ODI,2024-03-11 15:47:31,"5,868","3,260","2,608"
RJ,2024-03-11 15:47:32,"14,859","10,990","3,869"
PU,2024-03-11 15:47:32,373,,373
PNB,2024-03-11 15:47:32,"7,673","3,676","3,997"
SKM,2024-03-11 15:47:33,82,,82
TND,2024-03-11 15:47:33,"17,883","8,102","9,781"
TLG,2024-03-11 15:47:34,"14,451","5,695","8,756"
TPA,2024-03-11 15:47:35,160,120,40
UP,2024-03-11 15:47:36,"12,183","10,911","1,272"
BGL,2024-03-11 15:47:36,"6,982","6,027",955
UTK,2024-03-11 15:47:36,"1,501",367,"1,134"
DND,2024-03-11 16:46:39,345,,345
BHR,2024-03-11 16:46:39,"3,539",454,"3,085"
DL,2024-03-11 16:46:39,"3,126",37,"3,089"
AP,2024-03-11 16:46:39,"10,885","6,355","4,530"
GOA,2024-03-11 16:46:39,520,,520
ASM,2024-03-11 16:46:39,"1,229",313,916
ACP,2024-03-11 16:46:39,116,,116
DNH,2024-03-11 16:46:40,906,,906
CHG,2024-03-11 16:46:40,145,,145
CTG,2024-03-11 16:46:39,"5,817","2,227","3,590"
GJT,2024-03-11 16:46:42,"19,563","11,061","8,502"
MIP,2024-03-11 16:46:48,109,,109
HP,2024-03-11 16:46:48,"1,390",231,"1,159"
MPD,2024-03-11 16:46:49,"10,939","4,581","6,358"
KRT,2024-03-11 16:46:49,"15,242","7,751","7,491"
KRL,2024-03-11 16:46:50,"4,446","1,100","3,346"
JAK,2024-03-11 16:46:52,"2,332",246,"2,086"
JHK,2024-03-11 16:46:52,"1,362",409,953
HRN,2024-03-11 16:46:54,"6,682","2,003","4,679"
MZM,2024-03-11 16:46:54,114,,114
MHA,2024-03-11 16:46:55,"27,695","18,482","9,213"
PU,2024-03-11 16:46:55,388,,388
ODI,2024-03-11 16:46:56,"5,621","3,260","2,361"
MGA,2024-03-11 16:46:56,244,0,244
NGD,2024-03-11 16:47:01,114,,114
RJ,2024-03-11 16:47:02,"14,030","9,732","4,298"
BGL,2024-03-11 16:47:04,"7,087","6,012","1,075"
TND,2024-03-11 16:47:04,"17,452","6,993","10,459"
PNB,2024-03-11 16:47:04,"7,175","3,850","3,325"
TPA,2024-03-11 16:47:04,175,121,54
SKM,2024-03-11 16:47:04,90,,90
TLG,2024-03-11 16:47:04,"14,596","4,993","9,603"
UP,2024-03-11 16:47:04,"11,272","11,188",84
UTK,2024-03-11 16:47:05,"1,619",420,"1,199"
