Region,Date,Monitored CAP in MW,Generation / Today's Program,Generation / Today's Actual,Generation / FY YTD Program,Generation / FY YTD Actual,Coal Stock in Days,CAP under outage,Outage Date,Expected Date / Sync Date,Remarks
NORTHERN,2018-03-31,68753.53,792.9499999999994,719.3800000000003,308238,312528.2200000003,,17955.45999999999,,,
WESTERN,2018-03-31,99689.48999999999,1242.4700000000005,1291.479999999999,433670,442130.73999999993,,27976,,,
SOUTHERN,2018-03-31,62785.44099999999,800.6000000000001,767.11,273772,243649.13999999998,,11652.7,,,
EASTERN,2018-03-31,37727.498,535.4,530.4140000000003,192450,186074.99999999994,,6891,,,
NORTH EASTERN,2018-03-31,3589.55,44.12000000000002,35.32000000000001,16270,15984.14,,230.5,,,
BHUTAN IMP.,2018-03-31,0,4.55,3.2,5000,4918.23,,,,,
NORTHERN,2018-04-01,69633.53,834.9799999999993,684.4600000000002,834.9799999999993,684.4600000000002,,18062.409999999985,,,
WESTERN,2018-04-01,100789.48999999999,1269.280000000001,1259,1269.280000000001,1259,,30628.54,,,
SOUTHERN,2018-04-01,62785.44099999999,760.4999999999998,733.7300000000001,760.4999999999998,733.7300000000001,,12573.2,,,
EASTERN,2018-04-01,38127.498,510.8800000000001,502.14,510.8800000000001,502.14,,8403,,,
NORTH EASTERN,2018-04-01,3589.55,37.679999999999986,37.86,37.679999999999986,37.86,,357.5,,,
BHUTAN IMP.,2018-04-01,0,5.83,2.44,5.83,2.44,,,,,
NORTHERN,2018-04-02,69633.53,834.9799999999993,740.9000000000003,1669.9599999999987,1425.3600000000006,,17515.409999999985,,,
WESTERN,2018-04-02,100789.48999999999,1269.280000000001,1289.6700000000005,2538.560000000002,2548.669999999998,,31979.54,,,
SOUTHERN,2018-04-02,62785.44099999999,760.4999999999998,727.8900000000006,1520.9999999999995,1461.619999999999,,12982.7,,,
EASTERN,2018-04-02,38127.498,510.8800000000001,515.5999999999999,1021.7600000000002,1017.7400000000002,,7795.5,,,
NORTH EASTERN,2018-04-02,3589.55,37.679999999999986,36.94,75.35999999999997,74.80000000000003,,292.5,,,
BHUTAN IMP.,2018-04-02,0,5.83,0.95,11.66,3.3899999999999997,,,,,
NORTHERN,2018-04-03,69633.53,815.8999999999992,779.3200000000004,2447.7000000000025,2204.680000000001,,18091.45999999999,,,
WESTERN,2018-04-03,100789.48999999999,1266.8700000000015,1295.7500000000007,3800.61,3844.4199999999996,,33952.54,,,
SOUTHERN,2018-04-03,62785.44099999999,753.6399999999999,808.1699999999997,2260.9199999999983,2269.7900000000013,,12997.7,,,
EASTERN,2018-04-03,38127.498,503.25000000000017,561.3499999999998,1509.750000000001,1579.0899999999995,,8403,,,
NORTH EASTERN,2018-04-03,3589.55,37.679999999999986,36.46,113.03999999999999,111.25999999999999,,206.5,,,
BHUTAN IMP.,2018-04-03,0,5.83,1.01,17.490000000000002,4.3999999999999995,,,,,
NORTHERN,2018-04-04,69633.53,815.8999999999992,814.0900000000012,3263.5999999999967,3018.770000000001,,18506.159999999985,,,
WESTERN,2018-04-04,100789.48999999999,1266.8700000000015,1290.8000000000002,5067.480000000006,5135.22,,32682.54,,,
SOUTHERN,2018-04-04,62785.44099999999,753.6399999999999,818.1199999999998,3014.5599999999995,3087.9099999999994,,13825.58,,,
EASTERN,2018-04-04,38127.498,503.25000000000017,567.4900000000002,2013.0000000000007,2146.5799999999995,,7715.5,,,
NORTH EASTERN,2018-04-04,3589.55,37.679999999999986,36.91,150.71999999999994,148.17000000000002,,223.5,,,
BHUTAN IMP.,2018-04-04,0,5.83,2.8200000000000003,23.32,7.22,,,,,
NORTHERN,2018-04-05,69539.53,815.8999999999992,777.5799999999999,4079.5,3796.3499999999995,,18184.909999999985,,,
WESTERN,2018-04-05,100789.48999999999,1266.8700000000015,1300.0499999999997,6334.349999999998,6435.269999999998,,31234.54,,,
SOUTHERN,2018-04-05,62785.44099999999,753.6399999999999,820.9,3768.2000000000007,3908.8100000000004,,13694.58,,,
